"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
NA,2015,"Ford","Mustang","            21200","            manual","            clean",NA,NA,"            gas",NA,NA
16950,2010,"chevy","silverado","            114000","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
2000,1995,"Toyota","","            272000","            manual","            clean","            good","            rwd","            gas",NA,NA
8995,2006,"jeep","grand cherokee laredo","            106000","            automatic","            clean",NA,"            4wd","            gas","           paint color: red",NA
14995,2006,"GMC","SIERRA 1500HD","            82000","            automatic","            clean",NA,"            4wd","            gas","           paint color: blue","            full-size"
23950,2013,"Jeep","Wrangler Sport 4WD ""Lifted""","            50660","            manual","            clean",NA,"            4wd","            other","           paint color: white",NA
16885,2007,"GMC","SIERRA 2500HD","            128000","            automatic","            clean",NA,"            4wd","            gas",NA,"            full-size"
7000,2005,"Ford","Escape","            108000","            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
11995,2005,"Cadillac","Escalade EXT","            185952","            automatic","            clean",NA,NA,"            gas","           paint color: green",NA
13450,2008,"buick","enclave cxl","            114000","            automatic","            clean",NA,"            4wd","            gas","           paint color: black",NA
16950,2010,"ford","f-150","            105000","            automatic","            clean",NA,"            4wd","            gas","           paint color: white","            full-size"
24988,2013,"Ram","1500","            86915","            automatic","            clean",NA,"            4wd","            gas","           paint color: custom",NA
